user_id,nama,usia,jenis_kelamin,kota_asal,segmen,preferensi_kategori,budget_per_trip,tipe_akomodasi,jumlah_trip,member_sejak,rating_rata_rata,is_active
USR00001,Wisatawan_00001,58,Perempuan,Medan,Backpacker,Budaya|Gunung,552451,Villa,3,2022-10-22,4.13,True
USR00002,Wisatawan_00002,23,Laki-laki,Depok,Family,Bahari|Petualangan,6903402,Midrange,15,2022-10-25,3.92,True
USR00003,Wisatawan_00003,28,Perempuan,Bandung,Solo Traveler,Sejarah|Gunung,4354228,Budget,13,2025-07-29,4.04,True
USR00004,Wisatawan_00004,56,Perempuan,Depok,Honeymoon,Petualangan|Gunung,1864488,Villa,10,2022-08-05,4.43,True
USR00005,Wisatawan_00005,54,Laki-laki,Jakarta,Family,Kuliner|Alam|Gunung|Petualangan,14820753,Midrange,28,2025-07-21,4.07,False
USR00006,Wisatawan_00006,58,Perempuan,Semarang,Honeymoon,Alam|Gunung,2864441,Villa,21,2025-02-27,4.3,True
USR00007,Wisatawan_00007,28,Perempuan,Balikpapan,Solo Traveler,Bahari|Kuliner|Sejarah|Petualangan,4683102,Budget,8,2025-12-09,4.71,False
USR00008,Wisatawan_00008,35,Perempuan,Medan,Backpacker,Religi|Petualangan|Edukasi|Gunung,942463,Luxury,5,2024-09-25,4.62,True
USR00009,Wisatawan_00009,65,Perempuan,Semarang,Group Tour,Budaya|Bahari,5093963,Hostel,3,2025-11-08,4.79,True
USR00010,Wisatawan_00010,58,Perempuan,Bekasi,Family,Petualangan|Edukasi,14416580,Villa,15,2023-02-25,3.88,True
USR00011,Wisatawan_00011,61,Perempuan,Padang,Backpacker,Sejarah|Gunung|Alam|Kuliner,1929650,Midrange,15,2026-02-06,4.93,True
USR00012,Wisatawan_00012,50,Laki-laki,Pekanbaru,Family,Alam|Bahari|Kuliner|Gunung,11517485,Luxury,25,2025-03-19,4.31,True
USR00013,Wisatawan_00013,56,Laki-laki,Surabaya,Honeymoon,Alam|Kuliner|Pantai,5598721,Midrange,29,2022-12-09,4.92,True
USR00014,Wisatawan_00014,64,Laki-laki,Bandung,Solo Traveler,Religi|Bahari|Budaya|Edukasi,2080596,Villa,28,2022-09-19,4.13,True
USR00015,Wisatawan_00015,52,Perempuan,Palembang,Family,Sejarah|Religi|Bahari|Pantai,14961298,Midrange,8,2025-10-04,4.01,True
USR00016,Wisatawan_00016,55,Laki-laki,Denpasar,Family,Pantai|Kuliner|Gunung|Edukasi,3120642,Luxury,3,2023-03-28,3.86,False
USR00017,Wisatawan_00017,31,Perempuan,Medan,Group Tour,Petualangan|Kuliner|Gunung,2609912,Budget,22,2023-09-14,4.03,False
USR00018,Wisatawan_00018,47,Laki-laki,Jakarta,Backpacker,Sejarah|Gunung|Kuliner,1912147,Midrange,7,2023-02-10,4.17,False
USR00019,Wisatawan_00019,29,Laki-laki,Pekanbaru,Honeymoon,Religi|Bahari,5380805,Budget,2,2022-06-18,5.0,True
USR00020,Wisatawan_00020,23,Perempuan,Tangerang,Family,Kuliner|Petualangan|Pantai,5790237,Midrange,13,2026-02-08,4.98,True
USR00021,Wisatawan_00021,47,Perempuan,Bandung,Honeymoon,Alam|Kuliner,5048443,Budget,19,2023-01-29,3.59,True
USR00022,Wisatawan_00022,21,Perempuan,Depok,Backpacker,Budaya|Pantai|Gunung|Petualangan,1725109,Midrange,3,2022-10-13,3.6,True
USR00023,Wisatawan_00023,43,Laki-laki,Bekasi,Backpacker,Pantai|Gunung|Petualangan|Sejarah,1694695,Villa,19,2023-03-10,3.97,True
USR00024,Wisatawan_00024,31,Perempuan,Palembang,Honeymoon,Alam|Religi,3502242,Luxury,30,2025-09-17,3.51,True
USR00025,Wisatawan_00025,22,Perempuan,Bandung,Group Tour,Gunung|Kuliner|Sejarah,3288067,Luxury,6,2023-08-30,4.75,True
USR00026,Wisatawan_00026,57,Perempuan,Balikpapan,Group Tour,Gunung|Budaya|Alam|Pantai,1565624,Budget,24,2023-01-06,3.73,True
