destination_id,nama_destinasi,provinsi,kategori,rating_rata_rata,harga_tiket_dewasa,durasi_kunjungan_jam,fasilitas,deskripsi,koordinat_lat,koordinat_lng,tersedia,musim_terbaik,min_umur,total_pengunjung_tahunan
DST0001,Tanah Lot,Bali,Budaya,4.7,60000,2,"wifi,parkir,toilet,restoran",Destinasi wisata budaya unggulan di Bali,-2.642823,108.914997,True,Sepanjang Tahun,17,361583
DST0002,Kuta Beach,Bali,Pantai,4.5,0,4,"wifi,parkir,toilet",Destinasi wisata pantai unggulan di Bali,-4.247636,120.296692,True,Sepanjang Tahun,12,1164469
DST0003,Ubud Monkey Forest,Bali,Alam,4.6,80000,2,"parkir,toilet,guide",Destinasi wisata alam unggulan di Bali,-3.126872,113.907146,True,Sepanjang Tahun,0,1816160
DST0004,Tegalalang Rice Terrace,Bali,Alam,4.4,20000,2,"parkir,toilet,warung",Destinasi wisata alam unggulan di Bali,-6.866677,95.777132,True,Mei-September,17,176248
DST0005,Seminyak Beach,Bali,Pantai,4.5,0,3,"wifi,restoran,toilet",Destinasi wisata pantai unggulan di Bali,-6.915154,122.30918,True,Sepanjang Tahun,0,388340
DST0006,Candi Borobudur,Yogyakarta,Sejarah,4.9,350000,3,"wifi,parkir,toilet,restoran,guide",Destinasi wisata sejarah unggulan di Yogyakarta,-7.297579,124.053445,True,Sepanjang Tahun,0,1335473
DST0007,Candi Prambanan,Yogyakarta,Sejarah,4.8,350000,3,"wifi,parkir,toilet,restoran",Destinasi wisata sejarah unggulan di Yogyakarta,0.422108,128.958476,True,Sepanjang Tahun,0,334400
DST0008,Malioboro,Yogyakarta,Kuliner,4.6,0,4,"toilet,atm,warung",Destinasi wisata kuliner unggulan di Yogyakarta,1.248182,124.763872,True,Sepanjang Tahun,17,1786989
DST0009,Keraton Yogyakarta,Yogyakarta,Budaya,4.7,15000,2,"guide,toilet,parkir",Destinasi wisata budaya unggulan di Yogyakarta,-1.615536,130.071225,True,Sepanjang Tahun,5,1720184
DST0010,Goa Pindul,Yogyakarta,Petualangan,4.5,70000,2,"guide,toilet,warung",Destinasi wisata petualangan unggulan di Yogyakarta,-0.011575,124.847376,True,Mei-September,0,1929750
DST0011,Wayag Island,Raja Ampat,Bahari,4.9,500000,8,"guide,perahu",Destinasi wisata bahari unggulan di Raja Ampat,-4.281205,127.902357,True,Sepanjang Tahun,0,1840973
DST0012,Pianemo,Raja Ampat,Bahari,4.8,250000,6,"guide,perahu,toilet",Destinasi wisata bahari unggulan di Raja Ampat,-7.256572,115.915353,True,April-Oktober,5,1018830
DST0013,Pasir Timbul,Raja Ampat,Pantai,4.7,150000,4,"guide,perahu",Destinasi wisata pantai unggulan di Raja Ampat,-0.316974,122.116066,True,April-Oktober,17,1170310
DST0014,Pulau Komodo,Labuan Bajo,Alam,4.9,150000,6,"guide,perahu,toilet",Destinasi wisata alam unggulan di Labuan Bajo,-2.129698,105.624517,True,Mei-September,17,1396957
DST0015,Pink Beach,Labuan Bajo,Pantai,4.8,100000,4,"guide,perahu",Destinasi wisata pantai unggulan di Labuan Bajo,-5.310224,136.497527,True,April-Oktober,5,1507048
