interaction_id,user_id,destination_id,tipe_interaksi,skor_interaksi,timestamp,durasi_detik,platform,rating_diberikan,session_id
INT0000001,USR01309,DST0015,share,0.7284,2025-08-16 03:46:41,,Desktop,,SES637267
INT0000002,USR00598,DST0009,share,0.883,2025-10-17 08:43:41,,Android,,SES169618
INT0000003,USR00885,DST0007,like,0.596,2025-05-14 07:01:41,,Desktop,,SES483832
INT0000004,USR00928,DST0023,like,0.6407,2025-10-02 02:09:41,,Android,,SES243345
INT0000005,USR01157,DST0027,view,0.1663,2025-07-09 02:35:41,312.0,Android,,SES494175
INT0000006,USR01751,DST0024,bookmark,0.7478,2025-09-29 19:53:41,,iOS,,SES414458
INT0000007,USR00598,DST0026,share,0.8454,2026-02-01 06:58:41,,Web,,SES781890
INT0000008,USR00169,DST0021,share,0.723,2025-03-16 05:24:41,,iOS,,SES273628
INT0000009,USR00158,DST0017,book,1.0,2025-05-04 03:14:41,,Web,,SES978472
INT0000010,USR00561,DST0022,share,0.751,2026-03-05 11:15:41,,Desktop,,SES401781
INT0000011,USR00053,DST0024,like,0.6438,2025-07-16 02:13:41,,Android,,SES951346
INT0000012,USR00311,DST0014,book,1.0,2026-03-12 00:31:41,,iOS,,SES535805
INT0000013,USR00773,DST0015,share,0.7828,2025-03-14 23:44:41,,Desktop,,SES352193
INT0000014,USR00570,DST0006,view,0.1269,2025-07-29 20:28:41,218.0,Desktop,,SES543942
INT0000015,USR01135,DST0008,share,0.7949,2025-04-20 05:33:41,,Web,,SES389488
INT0000016,USR01668,DST0013,view,0.1549,2025-04-16 09:43:41,876.0,Desktop,,SES478007
INT0000017,USR00890,DST0029,bookmark,0.7627,2025-11-19 23:48:41,,iOS,,SES169713
INT0000018,USR01163,DST0019,bookmark,0.7787,2025-06-03 00:55:41,,Desktop,,SES493875
INT0000019,USR01743,DST0029,bookmark,0.609,2025-12-20 05:24:41,,iOS,,SES879040
INT0000020,USR01642,DST0011,bookmark,0.6417,2025-08-09 04:20:41,,Desktop,,SES604481
INT0000021,USR00289,DST0006,review,0.8482,2025-07-11 21:40:41,,Web,3.6,SES866734
INT0000022,USR01514,DST0023,view,0.1748,2025-05-12 04:08:41,805.0,Desktop,,SES651533
INT0000023,USR01059,DST0015,review,0.8579,2026-01-07 05:42:41,,iOS,3.9,SES782236
INT0000024,USR00892,DST0014,view,0.2028,2025-05-05 10:39:41,92.0,Web,,SES316143
INT0000025,USR01193,DST0003,bookmark,0.6458,2026-01-31 23:15:41,,Android,,SES609487
INT0000026,USR01636,DST0018,view,0.2098,2025-10-17 04:32:41,343.0,Desktop,,SES979702
INT0000027,USR00109,DST0014,book,1.0,2025-06-24 03:23:41,,Android,,SES490371
INT0000028,USR01930,DST0009,like,0.5392,2025-06-17 11:51:41,,Web,,SES778462
INT0000029,USR01416,DST0011,book,1.0,2025-05-03 05:14:41,,iOS,,SES128635
INT0000030,USR00827,DST0014,share,0.8477,2025-03-23 23:19:41,,Desktop,,SES545031
INT0000031,USR01829,DST0008,like,0.6039,2025-03-31 05:38:41,,iOS,,SES293136
INT0000032,USR01362,DST0006,view,0.1745,2025-04-06 21:31:41,781.0,iOS,,SES368462
INT0000033,USR01095,DST0010,like,0.5202,2025-09-23 23:14:41,,iOS,,SES266014
INT0000034,USR00499,DST0024,review,0.8252,2025-08-17 00:56:41,,Desktop,3.6,SES943219
INT0000035,USR00611,DST0020,share,0.8024,2025-07-30 01:11:41,,Android,,SES865127
INT0000036,USR01660,DST0019,bookmark,0.7273,2025-07-17 04:06:41,,Web,,SES285961
INT0000037,USR01274,DST0016,like,0.667,2025-10-07 07:16:41,,Web,,SES690055
INT0000038,USR01735,DST0003,bookmark,0.7921,2026-02-05 11:27:41,,Desktop,,SES536720
INT0000039,USR00615,DST0004,bookmark,0.6438,2025-09-20 00:42:41,,Desktop,,SES915220
INT0000040,USR01944,DST0009,share,0.7417,2026-03-02 08:32:41,,Web,,SES884269
INT0000041,USR00512,DST0005,bookmark,0.751,2025-05-31 04:30:41,,Web,,SES597885
INT0000042,USR00168,DST0006,book,1.0,2025-12-20 02:44:41,,Web,,SES322825
INT0000043,USR01926,DST0022,bookmark,0.7498,2025-10-11 22:49:41,,iOS,,SES410415
INT0000044,USR01159,DST0016,review,0.9575,2025-04-23 08:30:41,,Web,4.7,SES806541
INT0000045,USR01939,DST0017,view,0.1203,2025-03-29 02:25:41,514.0,iOS,,SES597008
INT0000046,USR00268,DST0013,view,0.1943,2025-12-14 09:16:41,498.0,Android,,SES682936
INT0000047,USR01836,DST0005,share,0.8958,2025-10-04 02:01:41,,Web,,SES921032
INT0000048,USR01584,DST0015,share,0.8497,2026-02-02 00:48:41,,Web,,SES461205
INT0000049,USR01538,DST0013,like,0.5383,2026-01-10 04:24:41,,iOS,,SES514619
INT0000050,USR01681,DST0019,bookmark,0.7987,2026-03-09 08:09:41,,Web,,SES694707
INT0000051,USR00943,DST0003,review,0.9101,2025-07-04 05:38:41,,Android,3.1,SES508556
INT0000052,USR00221,DST0006,bookmark,0.6227,2026-01-17 04:10:41,,Android,,SES898405
INT0000053,USR01545,DST0003,like,0.5544,2025-11-16 02:07:41,,Web,,SES659393
INT0000054,USR01628,DST0004,bookmark,0.7594,2025-04-20 08:55:41,,iOS,,SES139528
INT0000055,USR00152,DST0009,review,0.9421,2026-02-16 22:13:41,,Android,3.1,SES426684
INT0000056,USR01344,DST0029,like,0.5077,2025-10-13 22:49:41,,Android,,SES884324
INT0000057,USR01976,DST0003,review,0.9539,2025-07-25 12:21:41,,Web,3.6,SES373817
